Ports,Region,Cntr Cycle Name,Cntr No,Cntr Size,cntr_trxn_id,Dpd Dpe,In Time,Is Empty,Max,orgname,Out Time,Transportmode
JNPT,Western,EXPORT,ZMOU8848652,40,,N,22/8/2020 11:00,N,35527276,Gateway Terminals India (GTI),24/8/2020 08:45,RAIL
JNPT,Western,EXPORT,ZMOU8848652,40,,N,22/8/2020 10:47,N,35527276,Nhava Sheva International Container Terminal (NSICT),22/8/2020 10:48,RAIL
JNPT,Western,EXPORT,ZMOU8849284,40,,N,24/7/2020 00:53,N,34676778,Gateway Terminals India (GTI),28/7/2020 17:44,RAIL
APSEZ,Western,IMPORT,ZMOU8849324,40,34959793,,2/8/2020 13:15,,,Adani Mundra Container Terminal (AMCT),2/8/2020 16:59,TRUCK
JNPT,Western,EXPORT,ZMOU8849659,40,,N,27/7/2020 01:43,,34763430,Gateway Terminals India (GTI),28/7/2020 09:53,RAIL
"VCT, Visakhapatnam",Eastern,EXPORT,ZMOU8849725,40,,Y,18/8/2020 20:33,,35328050,Visakha Container Terminal,24/8/2020 04:10,TRUCK
"VCT, Visakhapatnam",Eastern,EXPORT,ZMOU8850578,40,,Y,21/8/2020 20:50,,35404558,Visakha Container Terminal,24/8/2020 00:28,TRUCK
JNPT,Western,EXPORT,ZMOU8850618,40,,N,31/7/2020 13:36,N,35034968,Gateway Terminals India (GTI),14/8/2020 02:28,RAIL
JNPT,Western,IMPORT,ZMOU8850731,40,,,7/8/2020 20:42,Y,35090994,Jawaharlal Nehru Port Container Terminal (JNPCT),11/8/2020 06:53,TRUCK
JNPT,Western,IMPORT,ZMOU8850752,40,,,7/8/2020 20:56,Y,35090995,Jawaharlal Nehru Port Container Terminal (JNPCT),11/8/2020 06:51,TRUCK
APSEZ,Western,IMPORT,ZMOU8851337,40,35290273,,14/8/2020 15:28,,,Adani Mundra Container Terminal (AMCT),16/8/2020 19:05,TRUCK
JNPT,Western,EXPORT,ZMOU8851698,40,,Y,3/8/2020 22:19,,34984417,Jawaharlal Nehru Port Container Terminal (JNPCT),8/8/2020 21:00,TRUCK
APSEZ,Western,EXPORT,ZMOU8851928,40,,,23/7/2020 02:44,,34645137,Adani International Container Terminal (AICTPL),27/7/2020 01:48,TRUCK
